,Country,Year,df_CO2AVBUNK,df_CO2GDP,df_CO2GDPPPP,df_CO2MARBUNK,df_CO2POP,df_CO2TES,df_GHGFC,df_GHGFugi,df_GHGFCOil,df_GHGFCGas,df_GHGEnergy,df_GHGFCCoal
160,Mexico,1972,1.619961287,0.352,0.185,0.295590445,1.927,53.482,109.5373248,22917.1583,80.86493956,20.99657917,132.4544831,5.825574413
161,United States,1972,15.82013278,0.803,0.803,22.58083842,21.57,64.879,4580.871542,262635.8787,2188.914724,1210.073551,4843.507421,1178.279159
162,Australia,1972,1.654509986,0.449,0.497,4.493320129,11.069,66.669,150.9629039,7690.095857,64.51109881,5.821039335,158.6529998,79.74226855
163,Israel,1972,2.072186676,0.264,0.267,0,4.475,62.338,14.56083477,13.749635,14.53050915,0.02324804,14.57458441,0.005721631
164,Japan,1972,4.04718596,0.475,0.406,48.73491219,7.413,65.907,794.6875746,7171.8221,578.0681959,8.744651168,801.8593967,207.8747275
165,Korea,1972,0,0.726,0.55,1.955876834,1.637,70.929,56.71730131,11424.75804,32.07241928,0,68.14205935,24.64488203
166,New Zealand,1972,0.636349856,0.248,0.255,1.097418566,5.311,48.619,15.73405944,88.89537,11.08733306,0.481226877,15.82295481,4.165499497
167,Austria,1972,0.279779502,0.327,0.29,0,6.682,60.739,51.38260319,..,29.53894663,5.992810675,..,15.63048503
168,Belgium,1972,1.315946447,0.678,0.602,9.078697484,13.198,70.349,129.4167071,..,68.01452123,14.42279418,..,46.97939164
169,Czech Republic,1972,0.698296499,2.209,1.162,0,15.445,79.961,155.7373414,..,21.51243908,2.029390586,..,132.1955118
170,Denmark,1972,2.189142941,0.404,0.439,2.222433461,11.499,71.186,57.9558612,55.2298925,52.11977728,0.000454936,58.01109109,5.590467295
171,Estonia,1972,..,..,..,..,..,..,..,22.01839,..,..,0.02201839,..
172,Finland,1972,0.227513107,0.498,0.502,0.164815825,9.399,53.603,44.61581705,..,34.29699346,0,..,9.734366955
173,France,1972,5.254320379,0.438,0.393,15.09599585,8.293,62.605,447.0605591,1700.87865,296.1522344,21.9587288,448.7614377,126.0820122
174,Germany,1972,8.233560502,0.663,0.572,13.89825313,12.724,75.673,1014.063022,3674.5392,408.1359215,50.20756914,1017.737562,554.9354304
175,Greece,1972,1.540324455,0.258,0.174,2.641275676,3.222,68.519,29.38363106,..,21.67467936,0,..,7.545194411
176,Hungary,1972,0.147576021,1.132,0.537,0,5.974,75.84,63.14773003,..,20.75536465,6.592216738,..,35.61281252
177,Iceland,1972,0.242885646,0.334,0.359,0,7.168,38.848,1.512808039,..,1.510103174,0,..,0.002704865
178,Ireland,1972,0.897753977,0.507,0.455,0.246282481,7.076,76.693,21.90107592,..,13.22799774,0,..,8.673078173
179,Italy,1972,3.428067646,0.335,0.275,24.35303219,5.637,65.649,309.1477,2085.8145,250.1169603,27.88885804,311.2335145,31.121782
180,Latvia,1972,..,..,..,..,..,..,..,..,..,..,..,..
